doi,task,taskLabel,score,rank
10.1109/PHM-Besancon49106.2020.00009,http://h-da.de/ml-ontology/binary_classification,binary classification,0.4018561840057373,2
10.1109/PHM-Besancon49106.2020.00009,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3986009359359741,3
10.1109/PHM-Besancon49106.2020.00009,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.3861035108566284,4
10.1109/PHM-Besancon49106.2020.00024,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35778695344924927,1
10.1109/PHM-Besancon49106.2020.00024,http://h-da.de/ml-ontology/audio_regression,audio regression,0.35430797934532166,2
10.1109/PHM-Besancon49106.2020.00025,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3656396269798279,1
10.1109/PHM-Besancon49106.2020.00025,http://h-da.de/ml-ontology/audio_regression,audio regression,0.35290974378585815,2
10.1109/PHM-Chongqing.2018.00161,http://h-da.de/ml-ontology/regression,regression,0.37761449813842773,1
10.1109/PHM-HANGZHOU58797.2023.10482529,http://h-da.de/ml-ontology/vertex_classification,vertex classification,0.39497601985931396,1
10.1109/PHM-Qingdao46334.2019.8942835,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.386770099401474,1
10.1109/PHM-Shanghai49105.2020.9281004,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3898499011993408,1
10.1109/PHM-Shanghai49105.2020.9281004,http://h-da.de/ml-ontology/audio_regression,audio regression,0.36854088306427,2
10.1109/PHM-Yantai55411.2022.9941982,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.3773186504840851,1
10.1109/PHM-Yantai55411.2022.9941982,http://h-da.de/ml-ontology/audio_regression,audio regression,0.3752208948135376,2
10.1109/PHM-Yantai55411.2022.9941982,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.37150365114212036,3
10.1109/PHM.2008.4711422,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.3820447325706482,1
10.1109/PHM58589.2023.00014,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3683260679244995,1
10.1109/PHM61473.2024.00071,http://h-da.de/ml-ontology/image_classification,image classification,0.3589809536933899,1
10.1109/PICET60765.2024.10716089,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.47219181060791016,1
10.1109/PICET60765.2024.10716089,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4253326654434204,2
10.1109/PICET60765.2024.10716089,http://h-da.de/ml-ontology/image_classification,image classification,0.39206618070602417,3
10.1109/PICET60765.2024.10716089,http://h-da.de/ml-ontology/feature_selection,feature selection,0.38710442185401917,4
10.1109/PICET60765.2024.10716089,http://h-da.de/ml-ontology/binary_classification,binary classification,0.38166308403015137,5
10.1109/PICST54195.2021.9772149,http://h-da.de/ml-ontology/regression,regression,0.3801999092102051,1
10.1109/PIICON56320.2022.10045202,http://h-da.de/ml-ontology/image_classification,image classification,0.3618369698524475,1
10.1109/PRAI62207.2024.10826798,http://h-da.de/ml-ontology/regression,regression,0.38232487440109253,1
10.1109/PRAI62207.2024.10826798,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.3644207715988159,2
10.1109/PRAI62207.2024.10826982,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.36865806579589844,1
10.1109/PRAI62207.2024.10826982,http://h-da.de/ml-ontology/image_classification,image classification,0.3529597520828247,2
10.1109/PUNECON.2018.8745432,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.39194947481155396,1
10.1109/PUNECON.2018.8745432,http://h-da.de/ml-ontology/clustering,clustering,0.37798672914505005,2
10.1109/PVSC48320.2023.10359869,http://h-da.de/ml-ontology/regression,regression,0.47081971168518066,1
10.1109/PVSC48320.2023.10359869,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.41457003355026245,2
10.1109/PVSC59419.2025.11133389,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.40600213408470154,1
10.1109/PVSC59419.2025.11133389,http://h-da.de/ml-ontology/regression,regression,0.40057680010795593,2
10.1109/PVSC59419.2025.11133389,http://h-da.de/ml-ontology/time_series_analysis,time series analysis,0.35550767183303833,3
10.1109/PerComWorkshops56833.2023.10150236,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.40104150772094727,1
10.1109/PerComWorkshops56833.2023.10150236,http://h-da.de/ml-ontology/action_recognition,action recognition,0.3507857322692871,2
10.1109/PowerCon60995.2024.10870559,http://h-da.de/ml-ontology/audio_regression,audio regression,0.43745359778404236,1
10.1109/PowerCon60995.2024.10870559,http://h-da.de/ml-ontology/audio_classification,audio classification,0.38461917638778687,2
10.1109/PowerCon60995.2024.10870559,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.36396247148513794,3
10.1109/PowerCon60995.2024.10870559,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3558020293712616,4
10.1109/QCE53715.2022.00150,http://h-da.de/ml-ontology/binary_classification,binary classification,0.439830482006073,1
10.1109/QCE53715.2022.00150,http://h-da.de/ml-ontology/image_classification,image classification,0.3908194899559021,2
10.1109/QMTISIT63393.2024.10762940,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4107506275177002,1
10.1109/QMTISIT63393.2024.10762940,http://h-da.de/ml-ontology/audio_regression,audio regression,0.35327354073524475,2
10.1109/QMTISIT63393.2024.10762940,http://h-da.de/ml-ontology/regression,regression,0.350094199180603,3
10.1109/QPAIN66474.2025.11171877,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.48242896795272827,1
10.1109/QPAIN66474.2025.11171877,http://h-da.de/ml-ontology/binary_classification,binary classification,0.38896405696868896,2
10.1109/QPAIN66474.2025.11171877,http://h-da.de/ml-ontology/audio_classification,audio classification,0.35238999128341675,3
10.1109/QPAIN66474.2025.11171877,http://h-da.de/ml-ontology/image_classification,image classification,0.35040855407714844,4
